The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
Accommodate, Convenience  oblige  adapt  supply  reconcile  suit  fit  adjust  furnish  serve  harmonize  , Inconvenience  disoblige  disturb  misfit  incommode  deprive  aggravate
Accommodating, Kind  unselfish  obliging  polite  yielding  conciliatory  , Disobliging  selfish  churlish  rude  imperious  dictatorial  exacting  inconsiderate  unaccommodating
Accompany, Follow  consort  attend  join  coexist  escort  convoy  , Desert  abandon  leave  avoid  eschew  quit  discard
[Some unrecognised fragments or words are bracketed thus: {[huh]?}., Execute  perfect  perform  fulfil  [See DO]  carry out  attain  realize  consummate  achieve  finish  complete  , Fail of  frustrate  defeat  disconcert  destroy  baffle  mar  spoil
More work required.], Abettor  confederate  accessory  ally  associate  partner  colleague  coadjutor  assistant  'particips criminit'  , Rival  foe  adversary  antagonist
--------------------------------------------------------------, Agree  consent  harmonize  tally  answer  comport  consist  conform  grant  concede  surrender  allow  , Disagree  differ  misfit  miscomport  misconform  withhold  deny  refuse
James Blanchette Brisbane Queensland Australia May 2018 , Agreeably  suitably  conformably  hence  consequently  , [See AGREEABLY]
an attempt to remove all errors and reconstruct as close to original as possible., Compatible  consonant  harmonious  consistent  consenting  acquiescent  , [See COMPATIBLE]
all {[unreadable]?} have been corrected, Address  salute  invoke  hail  greet  stop  apostrophize  speak to  call to  , Shun  avoid  elude  pass  ignore
as well quite a few [See SOMEWORD] were incorrectly placed and this has been corrected , Narration  report  rehearsal  story  statement  narrative  recital  relation  description  motive  value  importance  advantage  ground  reason  profit  , Silence  suppression  project  misannouncement  of no account  attempt  without value  deed  project
Missing page 15 was put in, Deem  esteem  consider  regard  hold  judge  rate  estimate  value  reckon  explain  solve  , Disesteem  misestimate  mystify  understate  undervalue  perplex  darken
------------------------------------------------------------------------------------, Responsible  liable  amenable  punishable  answerable  accredited  delegated subordinate  , Autocratic  Independent  irresponsible  absolute  supreme  despotic
Accoutre, Adorn  fit out  equip  furnish  dress    furnish with arms    , [See ADORN]
Accredit, Believe  trust  entrust  delegate  depute  commission  authorize  , Disbelieve  distrust  suspect  recall  supersede  discard  dismiss
Accredited, Authorized  commissioned  acknowledged  confidential  trusted  , Unauthorized  unacknowledged  distrusted
Accumulate, Collect  gamer  grow  mass  heap  store  bring together  hoard  gather  agglomerate  husband  augment  amass  increase  , Dissipate  disperse  diminish  scatter  expend  waste
Accumulation, Heap  collection  store  mass  aggregation  hoard  pile  , Segregation  separation  unit  individual
Accuracy, Exactness  correctness  strictness  precision  exactitude  nicety  fidelity  , Inexactness  looseness  slovenliness  incorrectness
Accurate, Careful  exact  faithful  precise  correct  close  truthful  strict  just  actual  nice  , Careless  inexact  faulty  incorrect  inaccurate  loose  defective
Accusation, Charge  indictment  imputation  impeachment  arraignment  , Acquittal  absolution  vindication  discharge
Accuse, Charge  incriminate  impeach  arraign  tax  taunt  censure  cite  summon  criminate  , Defend  vindicate  discharge  acquit  absolve  condone  pardon  exonerate  release
Accustom, Habituate  familiarize  form  inure  train  reconcile  , Disaccustom  dishabituate  estrange  wean  alienate
Ace, Unit  atom  point  title  jot  item  , Numbers  quantity  bulk  gum  mass  collection  aggregate  total
Acerbity, Harshness  acridity  tartness  acidity  bitterness  acrimony  crabbedness  moroseness  sourness  roughness  , Sweetness  mildness  softness  mellowness  gentleness  amiableness
Ache -n, Pain  suffering  smart  anguish  pang  , [See PAIN]
Achieve, Accomplish  [See DO]  gain  perform  execute  effect  fulfil  finish  attain  win  , [See DO]
Achievement, Exploit  feat  attainment  accomplishment  performance  , [See ATTAIN and ATTAINMENT]
Articular, Spinous  sagittate  prickly  thorny  sharp-pointed  hastate  bristly  , Obtuse  blunt  abrupt
Acid, Sharp  acidulous  acetous  vinegarish  , Mellow  luscious  mealy  rich
Acknowledge, Avow  admit  recognize  own  accept  profess  endorse  grant  concede  concern  , Disavow  disclaim  disown  repudiate  ignore  deny
Acknowledged, Agreed  settled  understood  decided  customary  , Not agreed  undecided  unsettled  not customary
Acme, Summit  zenith  climax  apex  pitch  culmination  meridian  , Base  floor  ground  foundation  nadir  depth  depression  foot  root
Acquaint, Advertise  inform  impart  make known  divulge  teach  notify  apprise  advise  tell  , Misinform  deceive  delude  mislead  misguide  hoodwink
Acquaintance, Knowledge  intimacy  familiarity  experience  companionship  , Ignorance  unfamiliarity  inexperience    well has also the colloquial meaning of a person with whom one i s acquainted
Acquiesce, Assent  concur  repose  agree  yield  be resigned  comply  , Dissent  demur  object
Acquire, Gain  earn  procure  obtain  get  realize  win  reap  , Lose  forfeit  surrender  miss  forego
Acquirement, Knowledge  at  entertainment  accomplishment  learning  erudition  acquisition  , Intuition  inspiration  genius
Acquit, Discharge  exonerate  absolve  exculpate  release  dismiss  liberate  pardon   , Charge  accuse  impeach  constrain  implicate  bind  compel  condemn  oblige  sentence
Acquittance, Release  receipt  discharge  , Bond  claim  charge  obligation
Acrid, Harsh  sour  , Mellow  sweet  luscious
Acrimonious, Sharp  biting  stinging  pungent  acrid  ill-natured  sarcastic  , Smooth  sweet  pleasant  goodnatured  bland
Acrimony, Sharpness  bitterness  sourness  causticity  acerbity  asperity  tartness  ill-feeling  hostility  animosity  , Smoothness  courtesy  mildness  blandness  pleasantness  friendship  amiability
Across, Athwart  against  transversely    Transverseness to a line of movement becomes    opposition  , Lengthwise  along  concurrently  parallel
Act -v  [See DO], Act -v  [See DO]    ,
Act -n, Deed  performance  action  movement  proceeding  exercise  operation  play  , Inaction  rest  repose  cessation  suspension  quiet  immobility  inertia  quiescence
Action  [See ACT], Action  [See ACT]    ,
Active, Nimble  agile  lively  sprightly  brisk  quick  expert  dexterous  supple  wide-awake  prompt  busy  industrial  diligent  , Slow  inactive  Indolent  sluggish  heavy
Activity, Agility  quickness  energy  briskness  vivacity  promptness  alertness  celerity  rapidity  , Inactivity  awkwardness  Indolence  slowness  sloth  clumsiness  heaviness  sluggishness  lassitude
