The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
Conquer, Subdue  vanquish  surmount  overcome  overpower  overthrow  defeat  crush  master  subjugate  prevail over  , Fail  fall  retreat  succumb  fly  submit  surrender  lose  forfeit  sacrifice  resign  cede
Conquest  [See CONQUER], Victory  triumph  overthrow  discomfiture  subjugation  , Failure  defeat  retreat  surrender  forfeiture  submission  discomfiture
Consanguinity, Kindred  blood  lineage  , Disconnection  dissociation
Conscience, Sense  intuition  integrity  principle  , [See PERTURB and STOICAL]  license
Conscientious, Scrupulous  exact  equitable  strict  upright  highprincipled  , Unscrupulous  lax  unprincipled  reprobate  unconscientious
Conscious, Aware  cognizant  sensible  , Unaware  unconscious  insensible
Consciousness, Sense  sensation  intelligence  perception  , Insensibility  unconsciousness
Conscription, Impressment  drafting  , Enlistment  volunteering
Consecrate, Dedicate  devote  enshrine  hallow  sanctify  , Desecrate  secularize  profane
Consecration  [See CONSECRATE and DEVOTION], Consecration  [See CONSECRATE and DEVOTION]    ,
Consecutive, Orderly  arranged  coherent  continuous  , Disordered  undigested  incoherent  rambling  inconsequent  inconsecutive  discursive
Consent, Submit  agree  acquiesce  , resist  disagree  dissent  deline  refuse
Consentaneous, Agreeing  correspondent  consonant  congruous  [See HARMONIOUS]    ,
Consequence, Effect  issue  result  inference  coherence  deduction  conclusion  outcome  importance  note  moment  dignity  , Cause  causation  antecedence  premise  origin  datum  postulate  axiom  unimportance  insignificance  inconsequence  inconsecutiveness  irrelevance  meanness  paltriness
Consequent, Inferred  deduced  resultant  accruing  attendant  , Assumed  conjectured  antecedent  conducive  productive  inconsequent
Consequential, Coherent  connected  nected  cogent  logical  pompous  arrogant  , Incoherent  disconnected  in  valid  illogical  inconsequential  affable  conversible  accessible  easy  humble-minded
Consequently, Accordingly  therefore  [See ACCORDING]  , Irrelevantly  inconsequently
Conservation, Preservation  keeping  protection  guardianship  maintenance  stabilisation  perpetuation  , Neglect  exposure  abrogation  destruction  abolition
Conservative, Undestroyed  unsuppressed  stationary  unrepealed  , Changed  newfangled  radical  progressive  modifiable  alterable  transitional
Consider, Attend  revolve  meditate  think  reflect  investigate  regard  observe  judge  opine  infer  deduce  weigh  cogitate  deliberate  ponder  deem  , Disregard  ignore  pretermit  despise  guess  conjecture  hazard
Considerable, Important  large  extensive  , Unimportant  trifling  inconsiderable
Considerate, Thoughtful  attentive  forbearing  unselfish  judicious  serious  prudent  circumspect  reflective  careful  cautious  , Thoughtless  inconsiderate  inattentive  rude  overbearing  selfish  injudicious  rash  careless
Consideration, Importance  suspect  consequence  motive  inducement  compensation  subsidy  remuneration  , Meanness  insignificance  unimportance
Considering, Because  regarding  , Irrespectively  independently
Consign  [See ASSIGN], Consign  [See ASSIGN]    ,
Consignment, Custody  commission  delegation  , Miscommitment  misconsignment
Consist  [See CONSTITUTE], Consist  [See CONSTITUTE]    ,
Consistence  [See CONSISTENCY], Consistence  [See CONSISTENCY]    ,
Consistency, Consistence  congruity  composition  substance  material  amalgamation  compound  mass  density  solidity  closeness  compactness  coherence  uniformity  harmony  analogy  proportion  , Volatility  vaporousness  subtility  tenuity  sublimation  incoherence  inconsistency  incongruity  disproportion  contrariety  contradiction
Consistent, Congruous  accordant  consonant  agreeing  compatible  harmonious  , Incongruous    at variance with      not agreeing with    incompatible  inharmonious
Consociation  [See ASSOCIATION and COMPANY], Consociation  [See ASSOCIATION and COMPANY]    ,
Console, Relieve  soothe  solace  encourage  comfort  assuage  , Congratulate  felicitate  aggravate  oppress  disturb  trouble  annoy  irritate  irreconcile  dissatisfy
Consolidate, Condense  incorporate  conglutinate  cement  solder  bond  weld  thicken  strengthen  fuse  , Weaken  dissipate  disunite  dismember  disintegrate  colliquate  dissolve  melt  vaporize  sublimate  attenuate  triturate  pulverize
Consonant  [See CONGRUOUS and CONSISTENT], Consonant  [See CONGRUOUS and CONSISTENT]    ,
Consort -v, Associate  herd  company  fraternize  , Avoid  abandon  excommunicate  blackball  banish  exclude
Conspicuous, Visible  easily seen  prominent  distinguished  manifest  eminent  famous  noted  salient  observable  noticeable  magnified  , Invisible  Inconspicuous  in  observable  noticeable  microscopic
Conspiracy, Intrigue  cabal  plot  treason  treachery  machination  coalition  , Legislation  parliament  congress  synod  Comp    Conclave and cabal
Conspire, Concur  conduce  contribute  agree  unite  hang  pull together  co-operate  league  baud  , Oppose  counteract  withstand  run counter to
Constant, Uniform  regular  invariable  perpetual  continuous  firm  fixed  steady  immutable  faithful  true  trustworthy  , Irregular  exceptional  variable  casual  accidental  incidental  broken  interrupted  inconstant  fickle  untrustworthy  faithless  treacherous  false
Consternation, Amazement  bewilderment  astonishment  astounding  horror  terror  dismay  , Encouragement  boldness  fearlessness  assurance  anticipation  welcome  expectation  greeting  congratulation
Constituent, Voter  returner  sender  deputer  appointer  patron  ingredient  element  component  , Representative  nominee  committee  constitution  system  whole
Constitute, Form  make  compose  appoint  depute  organize  institute  , Dissolve  destroy  discompose  decompose  disorganize  abrogate  annul  unmake
Constitution, Temperament  frame  temper  character  habit  nature  government  polity  state  consistence  composition  substance  organization  structure  regulation  law  , Accident  habituation  modification  Interference  anarchy  despotism  tyranny  rebellion  revolution  dissipation  disorganization  demolition  destruction
Constitutional, Fundamental  legal  lawful  legitimate  natural  , Unconstitutional  illegal  Illegitimate  unnatural  unchanged
Constrain  [See COERCE], Constrain  [See COERCE]    ,
Construct, Compose  build  fabricate  form  erect  invent  frame  , Derange  destroy  demolish  overthrow
Construction, Composition  fabrication  explanation  rendering  erection  fabric  edifice  reading  understanding  interpretation  view  , Dislocation  dismemberment  demolition  displacement  misplacement  misconstruction  misunderstanding  misconception  misinterpretation
Construe, Parse  resolve  analyze  interpret  understand  render  , Nullify  neutralize  mystify  distort  falsify  misconstrue  misinterpret  misconceive  mistranslate
Consult, Interrogate  canvass  question  deliberate  confer  advise with  regard  consider  ask advice of  care for  promote  , Resolve  explain  expound  direct  instruct  dictate  counteract  contravene
Consume, Use  appropriate  burn  oat up  devour  spend  squander  assimilate  occupy  absorb  employ  utilize  waste  destroy  spoil  ravage  expend  pine  wither  decay  , Reject  supersede  disuse  discard
Consummate -v, Complete  perfect  execute  finish  accomplish  conclude  seal  end  , Neglect  drop  interrupt  nullify  undo  baffle  frustrate  mar  defeat  spoil
Consummate -a, Perfect  egregious  excellent  complete  finished  , Imperfect  rude  common  mediocre  faulty  defective  ordinary
Consummation  [See CONSUMMATE and COMPLETION], Consummation  [See CONSUMMATE and COMPLETION]    ,
Consumption, Decline  decay  expenditure  waste  decrement  lessening  decrease  , Growth  development  enlargement  augmentation
Contact, Touch  contiguity  continuity  apposition  adjunction  , Proximity  adjacence  interruption  disconnection  separation  distance  isolation  noncontact
Contagious, Catching  epidemic  infectious  pestilential  communicated  transferred  transmitted  infections  , Sporadic  endemic  preventive  antipathetic
Contain, Hold  include  comprise  embrace  comprehend  inclose  , Drop  exclude  extrude  emit  discharge  afford  yield  produce
Contaminate, Defile  taint  corrupt  sully  befoul  soil  , Purify  cleanse  lave  clarify  sanctify  chasten
Contemn, Despise  disdain  deride  vilify  slight  disregard  scorn  , Respect  revere  venerate  regard
Contemplate, Meditate  behold  observe  ponder  study  purpose  design  intend  project  , Ignore  overlook  waive  abandon
Contemporary  [See COETANEOUS], Contemporary  [See COETANEOUS]    ,
Contempt  [See CONTEMN], Contempt  [See CONTEMN]    ,
Contemptible, despicable  mean  vile  pitiful  disreputable  paltry  trifling  trivial  , Important  grave  weighty  honorable  respectable  venerable
Contemptuous  [See SUPERCILIOUS], Contemptuous  [See SUPERCILIOUS]    ,
Contend, Strive  compete  cope  dispute  vie  contest  struggle  grapple  argue  maintain  disagree  wrangle  , Resign  concede  allow  relinquish  forego  surrender  waive
Content, Full  satisfied  pleased  gratified  contented  willing  resigned  , Unsatisfied  dissatisfied  unwilling  reluctant  discontented
Contented  [See CONTENT], Contented  [See CONTENT]    ,
Contention  [See STRIFE], Contention  [See STRIFE]    ,
Contentious  [See CONTEND and QUARRELSOME], Litigious  perverse  wayward  splenetic  cantankerous  exceptions  , Pacific  obliging  considerate  obsequious  accommodating  easy
Conterminous, Commensurate  adjoining  contiguous  abutting  , Unequal  inconformable  adjacent  proximate  remote  inconterminous
Contest -v  [See CONTEND], Contest -v  [See CONTEND]    ,
Contest -n  [See CONTENTION], Contest -n  [See CONTENTION]    ,
Context, Tenor  treatment  texture  composition  matter  , Text  quotation  citation  passage  extract
Contexture  [See TEXTURE], Contexture  [See TEXTURE]    ,
Contiguous  [See CONTAGIOUS  ADJACENT and CONTERMINOUS], Contiguous  [See CONTAGIOUS  ADJACENT and CONTERMINOUS]    ,
Continence, Abstinence  selfcontrol  refrain (n)  Chastity  sobriety  temperance  , Licentiousness  self-indulgence  incontinence  dissoluteness  intemperance
Contingency  [See ACCIDENT], Contingency  [See ACCIDENT]    ,
Contingent -a, Dependent  incidental  resultant  co-emcient  hypothetical  uncertain  conditional  , Positive  absolute  independent  unmodified  unaffected  uncontrolled  irrespective
Contingent -n, Contribution  subsidy  supply  succor  reinforcement  auxiliaries  donation  subscription  , Army  sum  host  campaign  fund  capital
Continual  [See CONSTANT and EVERLASTING], Continual  [See CONSTANT and EVERLASTING]    ,
Continually, Constantly  persistently  always  ever  perpetually  unceasingly  repeatedly  frequently  continuously  , Casually  occasionally  contingently  sometimes  rarely  fitfully  intermittently
Continuation, Sequence  continuance  continuity  duration  succession  connection  extension  prolongation  perpetuation  concatenation  , Interruption  cessation  discontinuance  break  gap
Continue, Last  persist  endure  remain  abide  stay  persevere  proceed  , Cease  fail  stop  pause  break  discontinue
Continuity  [See CONTINUATION], Continuity  [See CONTINUATION]    ,
Contortion, Twisting  writhing  wresting  distortion  deformity  convolution  , Symmetry  uniformity  shapeliness  configuration  contour
Contour  [See CONFIGURATION], Contour  [See CONFIGURATION]    ,
Contraband, Illicit  interdicted  smuggled  , Licit  uninterstated  free
Contract -v, Abridge  abbreviate  narrow  lessen  reduce  compress  decrease  retrench  curtail  form  agree  , Expand  amplify  dilate  elongate  reverse  cancel  abandon
t Contract -n, Covenant  agreement  compact  bond  pact  stipulation  bargain  , Promise  assurance  parole
Contradict, Oppose  dissent  negative  controvert  deny  disprove  confute  refute  gainsay  contravene  , State  propound  maintain  argue  confirm  affirm  endorse
Contradiction, Repugnance  contrariety  inconsistency  incompatibility  , Harmony  coincidence  concurrence  affirmation  proof  statement
Contraposition, Oppositeness  confrontment  facing  , Side  flank  collateralness
Contrarious  [See CONTENTIOUS], Contrarious  [See CONTENTIOUS]    ,
Contrary, Opposed  opposite  repugnant  antagonistic  adverse  incompatible  inconsistent  , Agreeing  consentaneous  compatible  kindred  coincident  consistent
Contrast, Opposition  contrariety  dissimilarity  , Harmony  similarity  comparison  similitude
Contribute, Conduce  add  subscribe  give  co-operate  assist  tend  supply  , Refuse  withhold  misconduct  misapply  contravene
Contribution, Donation  oblation  offering  gift  subscription  subsidy  aid  assistance  , Withholding  retention  disallowance  misappropriation  misapplication  contravention
